Spring,Unit,Date,Time,T(c) ,P,Discharge,Specific_conductivity,Dissolved Oxygen,ph,Carbonate,Bicarbonate,Alkalinity,Calcium,Magnesium,Sodium,Potassium,Chloride,Sulfate,Fluoride,Silica,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Thallium,Molybdenum,Nickel,Strontium,Vanadium,Zinc,Antimony,Aluminum,Lithium,Selenium,Radium-226,Uranium-238,Uranium-234,Uranium-235,Uranium_natural,Uranium-234/uranium-238,beta_radioactivity,Alpha_ radioactivity,strontium-87/strontium-86,Radium-228,Delta_D,delta_O18
Lower Jumpup ,Supai Group,8/28/2009,11:27,21.1,,1.2,1960,4.1,6.9,,357,294,254,117,38,8.1,41.7,834,0.56,18,1.4,28,< 0.020,128,< 0.002,< 0.20,< 0.20,0.11,4,0.008,7.5,0.012,6.5,< 0.3,2650,1.6,3,0.043,0.69,53,3.6,< 4,,,,7.7,2.594,,,0.70817,< 4,-89.77,-11.93
Lower Jumpup ,Supai Group,7/28/2011,10:42,21.1,664,5.9,2120,6.7,7.4,,363,298,263,123,45,9,43,910,0.23,17,0.8,23,0.01,148,0.02,< 1.00,< 0.40,< 0.07,2,< 0.3,0.71,0.04,6.4,< 1,2840,1.7,4.8,< 0.3,1.6,53,2.7,< 4,2.62,6.9,0.21,8.4,2.551,10.9,12,,< 4,-88.3,-11.94
Buck Farm Canyon ,Redwall Limestone,8/23/2009,13:30,27.3,690,0.59,708,6.8,7.5,1,239,198,95.1,33.9,19.1,7.32,12.7,194,0.18,12,0.95,31,< 0.020,59,E 0.013,0.24,0.093,< 1.0,< 4.0,< 0.060,< 0.20,E 0.021,2.66,0.42,590,2.6,< 2.0,0.116,< 4.0,24.4,3.5,< 4,,,,2.77,1.846,,,0.70916,< 4,-91.38,-12.22
Side Canyon ,Redwall Limestone,8/26/2009,15:42,23.3,,1,1320,4.2,7.4,,200,164,181,75,17,4.8,10.7,596,0.55,10,1.7,12,< 0.020,100,< 0.002,0.3,< 0.20,0.06,< 2,0.009,< 0.02000,0.16,11,< 0.3,2020,0.55,7,0.028,0.28,31,13,< 4,,,,7.5,1.857,,,0.70868,< 4,-91.41,-12.5
Showerbath ,Redwall Limestone,8/26/2009,15:12,21.1,,202,,6.3,7,0,241,198,111,49,18,4.1,16.1,292,0.3,9.8,1.4,23,< 0.020,65,< 0.002,0.4,< 0.20,0.07,< 2.0,0.007,< 0.020,0.064,4.2,< 0.30,997,1,9,0.066,0.25,21,4.6,< 4,,,,4.8,1.89,,,0.70846,< 4,-90.41,-12.2
Showerbath ,Redwall Limestone,7/26/2011,13:42,20.3,694,256,978,8.2,7.8,,232,190,119,48,21,4.7,15,337,0.2,9.6,1.2,23,< 0.0020,70,0.006,0.3,< 0.4,< 0.01,3,< 0.06,0.03,0.079,3.8,< 1,1010,1,9.1,< 0.07,0.4,23,3.9,< 4,1.45,2.65,0.09,4.8,1.842,6.7,R 0.1,,< 4,-88.1,-11.89
Kanab ,Redwall Limestone,8/26/2009,12:52,21.8,,274,864,7.3,7.1,,241,199,102,51,16,3.9,16,261,0.28,11,1.8,25,< 0.020,58,< 0.00200,0.3,< 0.2,0.08,< 2.0,0.043,0.29,0.12,4.3,< 0.3,870,0.54,17,0.072,0.48,20,5.1,0.245,,,,4.9,1.98,,,0.70849,0.016,-91.56,-12.4
Kanab ,Redwall Limestone,7/26/2011,10:57,21.9,693,431,842,5.8,7.3,,241,198,105,54,17,4.2,12,269,0.21,11,1.7,26,0.005,64,0.009,< 0.3,< 0.40,< 0.010,5,< 0.1,0.13,0.14,4.4,< 1,880,0.71,18,< 0.07,0.7,20,4.4,< 4,1.42,2.77,0.07,4.8,1.94,6.4,8.6,,< 4,-90.9,-12.29
Unknown,Redwall Limestone,8/21/2009,9:00,18.8,689,0.68,330,7.6,7.6,,210,173,44.2,20.7,1.75,0.75,2,8.25,E 0.08,8,2.2,180,< 0.020,12,< 0.020,0.96,0.052,< 1.0,< 4.0,< 0.060,E 0.11,< 0.040,0.233,0.19,72.8,1.1,< 2.0,E 0.033,< 4.0,1.73,0.72,,,,,0.577,3.94,,,0.71043,,-99.48,-13.78
Hole in the Wall ,Redwall Limestone,8/22/2009,14:35,,686,8.8,303,7.8,7.5,,210,173,45.5,21.2,1.8,0.86,2,8.27,E 0.08,8,2.2,178,< 0.020,11,< 0.020,0.95,0.043,< 1.0,< 4.0,< 0.060,< 0.20,< 0.040,0.223,0.19,71.2,1.1,< 2.0,E 0.025,< 4.0,1.58,0.73,,,,,0.581,3.911,,,0.71053,,-99.07,-13.74
Hanging ,Redwall Limestone,8/22/2009,10:30,20.9,690,,348,7.3,7.9,1,214,177,44.9,21,1.74,0.82,1.98,8.21,E 0.07,8,2.3,181,< 0.020,11,E 0.014,0.97,0.069,< 1.0,< 4.0,< 0.060,E 0.12,< 0.040,0.237,0.2,75.4,1.1,< 2.0,E 0.028,< 4.0,1.66,0.78,< 4,,,,0.608,3.924,,,0.71071,< 4,-98.52,-13.78
Vasey's Paradise,Redwall Limestone,8/21/2009,10:30,18.6,,260,300,9.1,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,,,0.71077,,,
Fence ,Redwall Limestone,8/20/2009,13:45,21.5,686,732,,5,6.8,,439,360,147,39.4,156,15.9,239,170,0.31,9.8,16.4,52,0.045,483,0.035,0.97,0.124,< 1.0,< 4.0,< 0.060,< 0.20,0.052,1.08,1.1,1060,1.6,5.7,0.055,< 4.0,355,1.2,,,,,1.44,2.56,,,0.71417,,-101,-13.83
