Spring Name,Formation,Date,Al(OH)3(a),Aragonite,Calcite,Cd(OH)2,Cerrusite,CO2(g),Dolomite,Fe(OH)3(a),Fluorite,Gibbsite,Goethite,H2(g),H2O(g),Halite,Hausmannite,Hematite,Manganite,O2(g),Otavite,Pb(OH)2,Pyrochroite,Pyrolusite,Rhodochrosite,Siderite,Smithsonite,Strontianite,Witherite,Zn(OH)2(e)
Lower Jumpup,Supai Group,8/28/2009,-2.54,-5.61,-5.46,-10.62,-6.03,-4.34,-10.96,-0.52,-9.64,0.19,5.23,-21.81,-1.61,-13.29,-19.46,12.45,-7.52,-40.93,-7.37,-4.99,-8.28,-13.3,-4.47,-5.05,-6.11,-3.97,-6.84,-5.06
Lower Jumpup,Supai Group,7/28/2011,-2.63,-5.12,-4.97,-8.62,-4.11,-4.87,-9.97,0.18,-10.4,0.1,5.93,-22.81,-1.61,-13.21,-18.53,13.84,-7.05,-38.93,-5.9,-2.54,-8.31,-12.32,-5.02,-5.38,-5.44,-3.47,-6.45,-3.87
Buck Farm,Redwall Limestone,8/23/2009,-2.56,-5.63,-5.49,-8.6,-5.02,-5.2,-11.05,0.26,-11.11,0.11,6.23,-22.99,-1.45,-14.12,-17.81,14.48,-7.29,-36.42,-6.19,-2.85,-8.65,-11.46,-5.66,-5.83,-5.87,-4.25,-6.44,-4.05
Side Canyon,Redwall Limestone,8/26/2009,-3.47,-5.5,-5.36,-9.62,-5.88,-5.12,-10.78,0.09,-9.83,-0.76,5.92,-22.81,-1.55,-14.24,-22.62,13.85,-8.6,-38.17,-7.14,-3.97,-9.86,-13.51,-6.8,-5.74,-5.49,-3.85,-6.98,-3.7
Showerbath,Redwall Limestone,8/26/2009,-3.06,-6.03,-5.88,-10.41,-6.17,-4.61,-11.82,-0.55,-10.53,-0.34,5.2,-22.01,-1.61,-14.03,-26.36,12.38,-9.79,-40.53,-7.44,-4.86,-10.65,-15.46,-7.11,-5.46,-5.69,-4.46,-6.99,-4.38
Showerbath,Redwall Limestone,7/26/2011,-3.59,-5.3,-5.15,-8.34,-4.81,-5.5,-10.41,0.6,-10.85,-0.85,6.32,-23.62,-1.63,-13.99,-19.64,14.62,-7.22,-37.61,-6.25,-2.64,-8.88,-12.22,-6.23,-5.98,-5.03,-3.75,-6.28,-2.81
Kanab,Redwall Limestone,8/26/2009,-2.89,-5.96,-5.82,-10.21,-5.31,-4.72,-11.63,-0.31,-10.64,-0.17,5.46,-22.21,-1.59,-14.08,-21.9,12.92,-8.33,-39.88,-7.34,-3.86,-9.29,-13.79,-5.84,-5.43,-5.31,-4.42,-6.86,-3.9
Kanab,Redwall Limestone,7/26/2011,-2.92,-5.77,-5.62,-9.16,-4.81,-4.94,-11.23,0.44,-10.88,-0.2,6.22,-22.61,-1.59,-14.18,-21.32,14.42,-8.08,-39.05,-6.5,-3.14,-9.24,-13.32,-6.01,-5.1,-5.11,-4.23,-6.66,-3.48
Unknown,Redwall Limestone,8/21/2009,-2.72,-5.95,-5.81,-8.21,-5.07,-5.4,-11.55,0.2,-12.16,-0.06,6.23,-23.19,-1.41,-15.96,-17.42,14.48,-7.25,-35.52,-6,-2.63,-8.71,-11.09,-5.91,-6.21,-5.86,-5.16,-5.68,-3.85
Hole in the Wall,Redwall Limestone,8/22/2009,-2.47,-6.05,-5.91,-8.41,-5.08,-5.29,-11.8,0.38,-12.11,0.22,6.27,-23,-1.51,-15.94,-18.37,14.55,-7.29,-37.19,-6.09,-2.92,-8.65,-11.83,-5.75,-5.76,-5.98,-5.26,-5.77,-4.04
Hanging,Redwall Limestone,8/22/2009,-2.87,-5.74,-5.6,-7.76,-4.97,-5.77,-11.18,0.45,-12.23,-0.18,6.34,-23.8,-1.51,-15.96,-15.84,14.7,-6.31,-35.59,-5.94,-2.33,-8.07,-10.45,-5.66,-6.57,-5.71,-4.92,-5.45,-3.29
Fence,Redwall Limestone,8/21/2009,-1.84,-5.82,-5.68,-9.57,-5.2,-4.16,-11.58,-0.73,-10.44,0.85,5.16,-21.6,-1.51,-11.93,-24,12.33,-9.4,-39.99,-6.13,-4.17,-10.06,-14.64,-6.03,-5.04,-5.79,-4.37,-6.58,-4.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
